Album Name,Artist Name,Genre 1,Genre 2,Release Year,Vocalist Gender,Rating
Holy Diver,DIO,Heavy Metal,Power Metal,1983,0,10
The Last in Line,DIO,Heavy Metal,Power Metal,1984,0,10
Sacred Heart,DIO,Heavy Metal,Power Metal,1985,0,9
Dream Evil,DIO,Heavy Metal,Power Metal,1987,0,10
Lock Up the Wolves,DIO,Heavy Metal,Power Metal,1990,0,8
Yes,Yes,Progressive Rock,Art Rock,1969,0,8
Time and a Word,Yes,Progressive Rock,Art Rock,1970,0,8
The Yes Album,Yes,Progressive Rock,Art Rock,1971,0,7
Fragile,Yes,Progressive Rock,Art Rock,1971,0,10
Asia,Asia,Progressive Rock,Pop Rock,1982,0,7
Alpha,Asia,Progressive Rock,Pop Rock,1983,0,8
David Bowie,David Bowie,Pop,Baroque Pop,1967,0,9
Space Oddity,David Bowie,Folk Rock,Psychedelic Rock,1969,0,10
The Man Who Sold the World,David Bowie,Blues Rock,Psychedelic Rock,1970,0,10
Hunky Dory, David Bowie,Art Pop,Pop Rock,1971,0,9
Aladdin Sane, David Bowie,Glam Rock,Hard Rock,1973,0,10
Shadows Over Lothadruin,Wind Rose,Power Metal,Folk Metal,2012,0,7
Wardens of the West Wind,Wind Rose,Power Metal,Folk Metal,2015,0,7
Stonehymn,Wind Rose,Power Metal,Folk Metal,2017,0,8
Legendary Tales,Rhapsody of Fire,Power Metal,Symphonic Power Metal,1997,0,7
Symphony of Enchanted Lands,Rhapsody of Fire,Power Metal,Symphonic Power Metal,1998,0,7
Power of the Dragonflame,Rhapsody of Fire,Power Metal,Symphonic Power Metal,2002,0,9
Return in Bloodred,Powerwolf,Power Metal,Heavy Metal,2005,0,9
Lupus Dei,Powerwolf,Power Metal,Heavy Metal,2007,0,8
Rocka Rolla,Judas Priest,Hard Rock,NaN,1974,0,9
Sad Wings of Destiny,Judas Priest,Hard Rock,NaN,1976,0,10
Iron Maiden,Iron Maiden,Heavy Metal,NaN,1980,0,10
Killers,Iron Maiden,Heavy Metal,NaN,1981,0,8
The Number of the Beast,Iron Maiden,Heavy Metal,NaN,1982,0,9
